fragmentarium_id,url,shelfmark,century,language,script,items,dimensions_mm,area_mm2,images,title,notes
F-6hjl,https://fragmentarium.ms/overview/F-6hjl,"Cambridge, MA, Harvard University, Houghton Library, MS Fr 495",15th century,French,Hybrid Script,1 roll,1330 x 480 mm,638400,5,"Six âges du monde | Biblical history from Ptolemy I to the birth of Christ, Babylonian King Balthasar to the d","A fragment of a chronicle of world history genealogical roll. The first column covers Biblical history from Ptolemy I to the birth of Christ, with two roundels illustrating Judas Machabeus, and the bi"
F-aakt,https://fragmentarium.ms/overview/F-aakt,"Lugano, Archivio storico, ASL Riva 004",14th century,Latin,Northern Textualis,1 bifolium,432 x 512 mm,221184,2,Unidentified text,
F-6gn1,https://fragmentarium.ms/overview/F-6gn1,"Gubbio, Biblioteca comunale Sperelliana, III 42G 12",13th century 14th century,Hebrew,,1 large leaf,554 x 369 mm,204426,1,Unidentified fragment in Hebrew (scraped and washed),"Large fragment in Hebrew (in situ), digitised under UV light to enhance the legibility of the damaged script."
F-vgsy,https://fragmentarium.ms/overview/F-vgsy,"Gubbio, Biblioteca comunale Sperelliana, III 42G 13",13th century 14th century,Hebrew,,1 large leaf,555 x 368 mm,204240,1,Unidentified fragment in Hebrew (scraped and washed),"Large fragment in Hebrew in situ, digitised under UV light to enhance the legibility of the damaged script."
F-kr2n,https://fragmentarium.ms/overview/F-kr2n,"Paris, Bibliothèque nationale de France, NAL 2317",11th century,Latin,Carolingian Minuscule,1 bifolium,325 x 500 mm,162500,4,Homiliarium (unidentified),
F-211s,https://fragmentarium.ms/overview/F-211s,"Scherpenheuvel-Zichem, Abdij der Norbertijnen van Averbode, Archief, Sectie IV, hs. 415",16th century,Latin,Northern Textualis,1 leaf,475 x 333 mm,158175,2,Breviary or prayer book | Psalms 2 and 8,"Page from an unidentified manuscript, possibly a breviary or prayer book, containing Psalms 2 and 8."
F-s2ym,https://fragmentarium.ms/overview/F-s2ym,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E M 69:8",14th century,Latin,Southern Textualis,1 double leaf,439 x 308 mm,135212,3,Gradual,"Initial M with an unidentified female saintThis initial begins the Introit for the Common of Apostles, 'Michi autem nimis honorati sunt amici tui deus ...' (Great reverence have I for thy friends, O G"
F-1exy,https://fragmentarium.ms/overview/F-1exy,"Toruń, Biblioteka Uniwersytecka, Rps 65/V",14th century,Latin,Cursiva,Pastedowns of the front and back cover,Front pastedown: 485 x 250; back pastedo,121250,2,The commentary on the Book of Genesis,"Two pages with the unidentified commentary on the Book of Genesis used as the pastedowns of the manuscript with the text by Henricus Bohic, Distinctiones in Librum IV Decretalium Gregorii IX from the "
F-rygw,https://fragmentarium.ms/overview/F-rygw,"Gent, Bisschoppelijk Archief Gent, fragment nr. 15",13th century,Latin,Southern Textualis,2 leaves,380 x 247 mm,93860,4,Unidentified medical treatise,
F-cfry,https://fragmentarium.ms/overview/F-cfry,"Wien, Österreichische Nationalbibliothek, Cod. 4070",15th century,Latin,Hybrid Script,1 partial leaf,375 x 250 mm,93750,2,Homily (unidentified),
F-3y8q,https://fragmentarium.ms/overview/F-3y8q,"Gent, Universiteitsbibliotheek Gent, HS.2583/124",14th century,Latin,Southern Textualis,37 strips,236 x 360 mm,84960,74,Unidentified Latin text,
F-s8db,https://fragmentarium.ms/overview/F-s8db,"Leuven, Archief van de Abdij van Park, IIIB1.429",14th century,Latin,Southern Textualis,1 leaf (in situ),324 x 261 mm,84564,3,Gloss on unidentified canon law text,
F-8bfm,https://fragmentarium.ms/overview/F-8bfm,"Toruń, Biblioteka Uniwersytecka, Ob.6.II.2164-2173",14th century,Latin,Cursiva,1 leaf,375 x 220,82500,5,Unidentified theological treatise,One parchment leaf used as a cover of a 16th cen. old printed book.  
F-2a37,https://fragmentarium.ms/overview/F-2a37,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 38 Fa 31",14th century,Latin,Gothic Script (generic),1 bifolium,214 x 377 mm,80678,5,Unidentified commentary on a religious text,
F-su3k,https://fragmentarium.ms/overview/F-su3k,"Gent, Universiteitsbibliotheek Gent, HS.2582/177",14th century,Latin,Northern Textualis,1 leaf,336 x 239 mm,80304,2,Unidentified theological text,
F-1szi,https://fragmentarium.ms/overview/F-1szi,"Paris, Bibliothèque nationale de France, NAL 2317",10th century,Latin,,1 leaf,305 x 248 mm,75640,2,"Commentarium biblicum (unidentified) | Super Mt. 6,25-31",
F-jaob,https://fragmentarium.ms/overview/F-jaob,"Paris, Bibliothèque nationale de France, Latin 9377",14th century,Latin,Cursiva,2 bifolia,241 x 313 mm,75433,8,"Commentarium super IV librum sententiarum Petri Lombardi (unidentified) | dd. 15-17, 19-22, 32-34, 38-40",
F-hcpv,https://fragmentarium.ms/overview/F-hcpv,"Leuven, Archief van de Abdij van Park, VIIIB20/52",14th century,Latin,Southern Textualis,1 bifolium,320 x 234 mm,74880,4,Legendary | Chapter 1-5 of an unidentified legend on St Gregory the Illuminator,
F-qnuy,https://fragmentarium.ms/overview/F-qnuy,"Gent, Universiteitsbibliotheek Gent, HS.2582/174",14th century,Latin,Cursiva,1 leaf,313 x 235 mm,73555,2,Unidentified text on ethics,
F-sk67,https://fragmentarium.ms/overview/F-sk67,"Odense, Syddansk Universitetsbibliotek, RARA Musik L 45 134",,Latin,,1 partial leaf,202 x 357,72114,8,Unidentified fragment,"Unidentified, severely damaged fragment. Only the words item dauid rex are decipherable on the spine. In situ on a paper manuscript from around 1600 containing polyphonic music. The host volume contai"
